column,name,short_name,type,Description,Derived?
122,Rel. unavailable connections:((source06.JDBCDataSourceRuntime.NumUnavailable / source06.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source06.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
123,Active connections:(source02.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source02.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
124,Active connections:(source10.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source10.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
125,Stuck threads:(Rejector.WorkManagerRuntime.StuckThreadCount),Stuck threads:Rejector,dbl,Stuck Threads,N
126,Available db connection activity:(d/dx (source05.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source05.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
127,Active connections:(source06.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source06.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
128,DB connection started:(incld/dx (source05.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source05.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
129,Prepared statement cache hit rate:((source02.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source02.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source02.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
130,Successful wait for connection:(incld/dx (source06.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source06.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
131,Heap committed activity:(d/dx (Memory.HeapMemoryUsage.committed)),Heap committed activity,dbl,committed heap,N
132,Stuck threads:(System.WorkManagerRuntime.StuckThreadCount),Stuck threads:System,dbl,Stuck Threads,N
133,Rel. swap usage:((OperatingSystem.FreeSwapSpaceSize / OperatingSystem.TotalSwapSpaceSize)),Rel. swap usage:OperatingSystem,dbl,"Relative swap used, OS",Y
134,Stuck threads:(OneWayJTACoordinatorWM.WorkManagerRuntime.StuckThreadCount),Stuck threads:OneWayJTACoordinatorWM,dbl,Stuck Threads,N
135,Active connections:(source09.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source09.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
136,Available db connection activity:(d/dx (source04.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source04.JDBCDataSourceRuntime,dbl,"Number of available connections, source",N
137,Last GC duration:(PS Scavenge.GarbageCollector.LastGcInfo.duration),Last GC duration:PS Scavenge,dbl,duration of last GC,N
138,Failing reserve requests:(incld/dx (source01.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source01.JDBCDataSourceRuntime,dbl,"Number of failed reserve requests, source",N
139,Rel. unavailable connections:((source04.JDBCConnectionPoolRuntime.NumUnavailable / source04.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source04.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
140,Prepared statement cache hit rate:((source03.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source03.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source03.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
141,Stuck threads:(sys02.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:sys02,dbl,Stuck Threads,N
142,DB connection started:(incld/dx (source08.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source08.JDBCDataSourceRuntime,dbl,"Number of connections started, source",N
143,Reserve request activity:(incld/dx (source09.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source09.JDBCDataSourceRuntime,dbl,Reserve request activity,N
144,Rel. physical mem usage:((OperatingSystem.FreePhysicalMemorySize / OperatingSystem.TotalPhysicalMemorySize)),Rel. physical mem usage:OperatingSystem,dbl,Relative memory used,Y
145,NonHeap usage activity:(d/dx (Memory.NonHeapMemoryUsage.used)),NonHeap usage activity,dbl,Non heap memory used,N
146,Active connections:(source01.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source01.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
147,Prepared statement cache hit rate:((source05.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source05.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source05.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
148,Rel. unavailable connections:((source03.JDBCDataSourceRuntime.NumUnavailable / source03.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source03.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
149,Memory space activity:(d/dx ((PS Survivor Space.MemoryPool.Usage.used / PS Survivor Space.MemoryPool.Usage.max))),Memory space activity:PS Survivor Space,dbl,"Activity, Used memory of max, PS Survivor Space",Y
150,Connection delay:(source08.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source08.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
151,Active connections:(source10.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source10.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
152,Failed wait for connection:(incld/dx (source10.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source10.JDBCDataSourceRuntime,dbl,"Number of connections failed waiting, source",N
153,DB connection started:(incld/dx (source06.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source06.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
154,Rel. unavailable connections:((source08.JDBCConnectionPoolRuntime.NumUnavailable / source08.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source08.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
155,Stuck threads:(Non-Blocking.WorkManagerRuntime.StuckThreadCount),Stuck threads:Non-Blocking,dbl,Stuck Threads,N
156,NonHeap committed activity:(d/dx (Memory.NonHeapMemoryUsage.committed)),NonHeap committed activity,dbl,Non heap commited memory,N
157,Stuck threads:(UserLockout.WorkManagerRuntime.StuckThreadCount),Stuck threads:UserLockout,dbl,Stuck Threads,N
158,GC time:(incld/dx (PS Scavenge.GarbageCollector.CollectionTime)),GC time:PS Scavenge,dbl,Time spent in GC,N
159,Memory space activity:(d/dx ((PS Perm Gen.MemoryPool.Usage.used / PS Perm Gen.MemoryPool.Usage.max))),Memory space activity:PS Perm Gen.Used,dbl,"Activity, Used memory of max, PS Perm Gen",Y
160,Rel. heap usage:((Memory.HeapMemoryUsage.used / Memory.HeapMemoryUsage.max)),Rel. heap usage,dbl,Relative heap used,Y
161,Swap activity:(d/dx (OperatingSystem.FreeSwapSpaceSize)),Swap activity:OperatingSystem,dbl,"Swap activity, OS",N
162,Stuck threads:(source08.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source08,dbl,Stuck Threads,N
163,GC time:(incld/dx (PS MarkSweep.GarbageCollector.CollectionTime)),GC time:PS MarkSweep,dbl,Time spent in GC,N
164,Successful wait for connection:(incld/dx (source04.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source04.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
165,GC activity:(incld/dx (PS MarkSweep.GarbageCollector.CollectionCount)),GC activity:PS MarkSweep,dbl,GC collection count,N
166,Active connections:(source03.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source03.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
167,Memory space activity:(d/dx ((Code.MemoryPool.Usage.committed / Code.MemoryPool.Usage.max))),Memory space activity:Code.Committed,dbl,"Activity, Committed memory of max, Code",Y
168,Available db connection activity:(d/dx (source01.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source01.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
169,Connection delay:(source05.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source05.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
170,Memory space activity:(d/dx ((PS Old Gen.MemoryPool.Usage.used / PS Old Gen.MemoryPool.Usage.max))),Memory space used/max:PS Old Gen,dbl,"Activity, Used memory of max, PS Old Gen",Y
171,Stuck threads:(JTACoordinatorWM.WorkManagerRuntime.StuckThreadCount),Stuck threads:JTACoordinatorWM,dbl,Stuck Threads,N
172,Available db connection activity:(d/dx (source10.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source10.JDBCDataSourceRuntime,dbl,"Number of available connections, source",N
173,DB connection started:(incld/dx (source03.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source03.JDBCDataSourceRuntime,dbl,"Number of connections started, source",N
174,Available db connection activity:(d/dx (source06.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source06.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
175,Memory space activity:(d/dx ((PS Eden Space.MemoryPool.Usage.used / PS Eden Space.MemoryPool.Usage.max))),Memory space activity:PS Eden Space.Used,dbl,"Activity, Used memory of max, PS Eden Space",Y
176,Available db connection activity:(d/dx (source01.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source01.JDBCDataSourceRuntime,dbl,"Number of available connections, source",N
177,Reserve request activity:(incld/dx (source03.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source03.JDBCDataSourceRuntime,dbl,Reserve request activity,N
178,Active connections:(source09.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source09.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
179,Failed wait for connection:(incld/dx (source06.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source06.JDBCDataSourceRuntime,dbl,"Number of connections failed waiting, source",N
180,Successful wait for connection:(incld/dx (source08.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source08.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
181,Rel. unavailable connections:((source05.JDBCDataSourceRuntime.NumUnavailable / source05.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source05.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
182,Stuck threads:(wl_oldBootStrap.WorkManagerRuntime.StuckThreadCount),Stuck threads:wl_oldBootStrap,dbl,Stuck Threads,N
183,System CPU:(OperatingSystem.SystemCpuLoad),System CPU: OperatingSystem,dbl,"CPU usage, OS",N
184,Memory space usage:((PS Old Gen.MemoryPool.Usage.committed / PS Old Gen.MemoryPool.Usage.max)),Memory space usage:PS Old Gen.Committed,dbl,"Committed memory of max, PS Old Gen",Y
185,Transaction roll back activity:(incld/dx (JTARuntime.TransactionRolledBackTotalCount)),Transaction roll back activity:JTARuntime,dbl,"JTA, transactions rolled back",N
186,Connection delay:(source10.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source10.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
187,Memory space activity:(d/dx ((PS Survivor Space.MemoryPool.Usage.committed / PS Survivor Space.MemoryPool.Usage.max))),Memory space activity:PS Survivor Space.Committed,dbl,"Activity, Committed memory of max, PS Survivor Space",Y
188,Active connections:(source08.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source08.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
189,Rel. unavailable connections:((source09.JDBCConnectionPoolRuntime.NumUnavailable / source09.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source09.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
190,Stuck threads:(weblogic.kernel.Default.WorkManagerRuntime.StuckThreadCount),Stuck threads:weblogic.kernel,dbl,Stuck Threads,N
191,Stuck threads:(batchModules3.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:batchModules3,dbl,Stuck Threads,N
192,Stuck threads:(direct.WorkManagerRuntime.StuckThreadCount),Stuck threads:direct,dbl,Stuck Threads,N
193,Stuck threads:(LogBroadcaster.WorkManagerRuntime.StuckThreadCount),Stuck threads:LogBroadcaster,dbl,Stuck Threads,N
194,Rel. open file descriptors:((OperatingSystem.OpenFileDescriptorCount / OperatingSystem.MaxFileDescriptorCount)),Rel. open file descriptors:OperatingSystem,dbl,Relative open file descriptors,Y
195,Rel. unavailable connections:((source05.JDBCConnectionPoolRuntime.NumUnavailable / source05.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source05.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
196,Failing reserve requests:(incld/dx (source02.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source02.JDBCDataSourceRuntime,dbl,"Number of failed reserve requests, source",N
197,Available db connection activity:(d/dx (source03.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source03.JDBCDataSourceRuntime,dbl,"Number of available connections, source",N
198,Connection delay:(source03.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source03.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
199,Rel. unavailable connections:((source09.JDBCDataSourceRuntime.NumUnavailable / source09.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source09.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
200,Reserve request activity:(incld/dx (source04.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source04.JDBCDataSourceRuntime,dbl,Reserve request activity,N
201,Active connections:(source02.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source02.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
202,Failed wait for connection:(incld/dx (source04.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source04.JDBCDataSourceRuntime,dbl,"Number of connections failed waiting, source",N
203,Memory space usage:((PS Perm Gen.MemoryPool.Usage.used / PS Perm Gen.MemoryPool.Usage.max)),Memory space usage.Used:PS Perm Gen.Used,dbl,"Used memory of max, PS Perm Gen",Y
204,Stuck threads:(source01.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source01,dbl,Stuck Threads,N
205,Connection delay:(source06.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source06.JDBCConnectionPoolRuntime,dbl,"Connection delay, pool",N
206,Stuck threads:(source10.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source10,dbl,Stuck Threads,N
207,Last GC duration:(PS MarkSweep.GarbageCollector.LastGcInfo.duration),Last GC duration:PS MarkSweep,dbl,duration of last GC,N
208,Reserve request activity:(incld/dx (source01.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source01.JDBCDataSourceRuntime,dbl,Reserve request activity,N
209,Successful wait for connection:(incld/dx (source05.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source05.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
210,Stuck threads:(bea_wls_deployment_internal.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:bea_wls_deployment_internal,dbl,Stuck Threads,N
211,Failing reserve requests:(incld/dx (source09.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source09.JDBCDataSourceRuntime,dbl,"Number of failed reserve requests, source",N
212,Rel. unavailable connections:((source03.JDBCConnectionPoolRuntime.NumUnavailable / source03.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source03.JDBCConnectionPoolRuntime,dbl,"Relative avialable connecitons, pool",Y
213,Memory space activity:(d/dx ((PS Perm Gen.MemoryPool.Usage.committed / PS Perm Gen.MemoryPool.Usage.max))),Memory space activity:PS Perm Gen.committed,dbl,"Activity, Committed memory of max, PS Perm Gen",Y
214,Available db connection activity:(d/dx (source02.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source02.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
215,Failed wait for connection:(incld/dx (source09.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source09.JDBCDataSourceRuntime,dbl,"Number of connections failed waiting, source",N
216,Failing reserve requests:(incld/dx (source03.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source03.JDBCDataSourceRuntime,dbl,"Number of failed reserve requests, source",N
217,Failing reserve requests:(incld/dx (source10.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source10.JDBCDataSourceRuntime,dbl,"Number of failed reserve requests, source",N
218,Stuck threads:(source06.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source06,dbl,Stuck Threads,N
219,DB connection started:(incld/dx (source09.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source09.JDBCDataSourceRuntime,dbl,"Number of connections started, source",N
220,Active connections:(source04.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source04.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
221,Successful wait for connection:(incld/dx (source01.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source01.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
222,Memory space activity:(d/dx ((PS Eden Space.MemoryPool.Usage.committed / PS Eden Space.MemoryPool.Usage.max))),Memory space activity:PS Eden Space.Committed,dbl,"Activity, Committed memory of max, PS Eden Space",Y
223,Connection delay:(source08.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source08.JDBCDataSourceRuntime,dbl,"Connection delay, source",N
224,Active transactions:(JTARuntime.ActiveTransactionsTotalCount),Active transactions:JTARuntime,dbl,Active JTA transactions,N
225,DB connection started:(incld/dx (source06.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source06.JDBCDataSourceRuntime,dbl,"Number of connections started, source",N
226,Available db connection activity:(d/dx (source08.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source08.JDBCDataSourceRuntime,dbl,"Number of available connections, source",N
227,Available db connection activity:(d/dx (source10.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source10.JDBCConnectionPoolRuntime,dbl,"Number of available connections, pool",N
228,Rel. unavailable connections:((source04.JDBCDataSourceRuntime.NumUnavailable / source04.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source04.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
229,Failed wait for connection:(incld/dx (source08.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source08.JDBCDataSourceRuntime,dbl,"Number of connections failed waiting, source",N
230,Rel. unavailable connections:((source08.JDBCDataSourceRuntime.NumUnavailable / source08.JDBCDataSourceRuntime.CurrCapacity)),Rel. unavailable connections:source08.JDBCDataSourceRuntime,dbl,"Relative avialable connecitons, source",Y
231,Stuck threads:(source05.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source05,dbl,Stuck Threads,N
232,Process CPU:(\Process(java)\CPU),Process CPU,dbl,CPU usage,N
233,Successful wait for connection:(incld/dx (source03.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source03.JDBCDataSourceRuntime,dbl,Successful waits for connection,N
234,Failed wait for connection:(incld/dx (source03.JDBCDataSourceRuntime.WaitingForConnectionFailureTotal)),Failed wait for connection:source03.JDBCDataSourceRuntime,dbl,"Number of connections failed waiting, source",N
235,Connection delay:(source02.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source02.JDBCDataSourceRuntime,dbl,"Connection delay, source",N
